binomial,phylum,class,order,family,genus,Common.name,panth_bodymass_g,panth_metrate_g,panth_maxLong_m,panth_Mat_d,aa_femMat_d,aa_maleMat_d,aa_maxLong_y,aa_maxLong_m,aa_metrate_w,aa_bodymass_g,AA_Data.quality,kup_AdultMass,kup_maxLong_m,AT_bodymass_g,AT_metrate,AT_brain_g,mean_long,State,species
Phascogale tapoatafa,Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Phascogale,Brush-tailed phascogale,192.65,152,60,372.69,365,365,5.9,70.8,0.694,153.7,acceptable,193.5,70.8,150,NA,1.87516,65.4,NA,Phascogale_tapoatafa
Phascolarctos cinereus,Chordata,Mammalia,Diprotodontia,Phascolarctidae,Phascolarctos,Koala,6528.74,4732.5,240,834.72,646,1095,22.1,265.2,5.744,4732.4,high,9300,265.2,5888,NA,20.9272,252.6,NOC,Phascolarctos_cinereus
Phasianus colchicus,Chordata,Aves,Galliformes,Phasianidae,Phasianus,Common pheasant,NA,NA,NA,NA,240,240,27,324,NA,NA,high,1094.8,324,625,NA,3.289,324,DIU,Phasianus_colchicus
Pheidole dentata,Arthropoda,Insecta,Hymenoptera,Formicidae,Pheidole,Pheidole dentata,NA,NA,NA,NA,NA,NA,0.4,4.8,NA,NA,questionable,NA,NA,NA,NA,NA,4.8,NA,Pheidole_dentata
Phelsuma astriata,Chordata,Reptilia,Squamata,Gekkonidae,Phelsuma,Seychelles small day gecko,NA,NA,NA,NA,NA,NA,7.4,88.8,NA,NA,acceptable,3.6,88.8,NA,NA,NA,88.8,NA,Phelsuma_astriata
Phelsuma cepediana,Chordata,Reptilia,Squamata,Gekkonidae,Phelsuma,Blue-tailed day gecko,NA,NA,NA,NA,NA,NA,9.3,111.6,NA,NA,acceptable,5,111.6,NA,NA,0.059,111.6,NA,Phelsuma_cepediana
Phelsuma guentheri,Chordata,Reptilia,Squamata,Gekkonidae,Phelsuma,Round island day gecko,NA,NA,NA,NA,NA,NA,17.8,213.6,NA,NA,acceptable,NA,213.6,NA,NA,NA,213.6,NA,Phelsuma_guentheri
Phelsuma guimbeaui,Chordata,Reptilia,Squamata,Gekkonidae,Phelsuma,Orange-spotted day gecko,NA,NA,NA,NA,NA,NA,7.1,85.2,NA,NA,acceptable,NA,85.2,NA,NA,NA,85.2,NA,Phelsuma_guimbeaui
Phelsuma laticauda,Chordata,Reptilia,Squamata,Gekkonidae,Phelsuma,Broad-tailed day gecko,NA,NA,NA,NA,NA,NA,8.7,104.4,NA,NA,acceptable,2.9,104.4,NA,NA,NA,104.4,NA,Phelsuma_laticauda
Phelsuma lineata,Chordata,Reptilia,Squamata,Gekkonidae,Phelsuma,Striped day gecko,NA,NA,NA,NA,NA,NA,10,120,NA,NA,acceptable,3.8,120,NA,NA,NA,120,NA,Phelsuma_lineata
Phelsuma madagascariensis,Chordata,Reptilia,Squamata,Gekkonidae,Phelsuma,Madagascar day gecko,NA,NA,NA,NA,NA,NA,13.6,163.2,NA,NA,acceptable,20.7,163.2,NA,NA,NA,163.2,DIU,Phelsuma_madagascariensis
Phelsuma standingi,Chordata,Reptilia,Squamata,Gekkonidae,Phelsuma,Standing's day gecko,NA,NA,NA,NA,NA,NA,9.6,115.2,NA,NA,acceptable,214.5,115.2,NA,NA,NA,115.2,NA,Phelsuma_standingi
Phelsuma sundbergi,Chordata,Reptilia,Squamata,Gekkonidae,Phelsuma,Seychelles giant day gecko,NA,NA,NA,NA,NA,NA,15.9,190.8,NA,NA,acceptable,12.35,190.8,NA,NA,NA,190.8,NA,Phelsuma_sundbergi
Phenacobius crassilabrum,Chordata,Teleostei,Cypriniformes,Leuciscidae,Phenacobius,Fatlips minnow,NA,NA,NA,NA,365,365,3,36,NA,NA,acceptable,NA,36,NA,NA,NA,36,NA,Phenacobius_crassilabrum
Phenacobius mirabilis,Chordata,Teleostei,Cypriniformes,Leuciscidae,Phenacobius,Suckermouth minnow,NA,NA,NA,NA,NA,NA,3,36,NA,NA,acceptable,NA,36,NA,NA,NA,36,NA,Phenacobius_mirabilis
Pheucticus ludovicianus,Chordata,Aves,Passeriformes,Cardinalidae,Pheucticus,Rose-breasted grosbeak,NA,NA,NA,NA,365,365,24,288,NA,NA,acceptable,47.325,288,NA,NA,NA,288,DIU,Pheucticus_ludovicianus
Pheucticus melanocephalus,Chordata,Aves,Passeriformes,Cardinalidae,Pheucticus,Black-headed grosbeak,NA,NA,NA,NA,365,365,25,300,NA,NA,acceptable,42,300,NA,NA,NA,300,NA,Pheucticus_melanocephalus
Philander mcilhennyi,Chordata,Mammalia,Didelphimorphia,Didelphidae,Philander,NA,NA,NA,27.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.6,NA,Philander_mcilhennyi
Philander opossum,Chordata,Mammalia,Didelphimorphia,Didelphidae,Philander,Gray four-eyed opossum,425.81,751,42,220.25,450,213,4.4,52.8,1.886,751,acceptable,450,52.8,570,NA,3.96788,47.4,NA,Philander_opossum
