binomial,phylum,class,order,family,genus,Common.name,panth_bodymass_g,panth_metrate_g,panth_maxLong_m,panth_Mat_d,aa_femMat_d,aa_maleMat_d,aa_maxLong_y,aa_maxLong_m,aa_metrate_w,aa_bodymass_g,AA_Data.quality,kup_AdultMass,kup_maxLong_m,AT_bodymass_g,AT_metrate,AT_brain_g,mean_long,State,species
Merops apiaster,Chordata,Aves,Coraciiformes,Meropidae,Merops,European bee-eater,NA,NA,NA,NA,365,365,5.9,70.8,NA,NA,acceptable,56.6,70.8,NA,NA,NA,70.8,NA,Merops_apiaster
Merops bullockoides,Chordata,Aves,Coraciiformes,Meropidae,Merops,White-fronted bee-eater,NA,NA,NA,NA,NA,NA,7,84,NA,NA,acceptable,34.8,84,NA,NA,NA,84,NA,Merops_bullockoides
Merops ornatus,Chordata,Aves,Coraciiformes,Meropidae,Merops,Rainbow bee-eater,NA,NA,NA,NA,NA,NA,4.6,55.2,NA,NA,acceptable,NA,NA,31,NA,0.64232,55.2,NA,Merops_ornatus
Mesembriomys gouldii,Chordata,Mammalia,Rodentia,Muridae,Mesembriomys,Black-footed tree rat,716.49,NA,46.8,51.02,71,NA,7.8,93.6,NA,NA,acceptable,900,93.6,NA,NA,NA,70.2,NA,Mesembriomys_gouldii
Mesembriomys macrurus,Chordata,Mammalia,Rodentia,Muridae,Mesembriomys,Golden-backed tree rat,294.28,NA,NA,NA,NA,NA,7.1,85.2,NA,NA,acceptable,268.5,85.2,NA,NA,NA,85.2,NA,Mesembriomys_macrurus
Mesoclemmys dahli,Chordata,Reptilia,Testudines,Chelidae,Mesoclemmys,Dahl's toad-headed turtle,NA,NA,NA,NA,NA,NA,27.4,328.8,NA,NA,acceptable,777,328.8,NA,NA,NA,328.8,NA,Mesoclemmys_dahli
Mesocricetus auratus,Chordata,Mammalia,Rodentia,Cricetidae,Mesocricetus,Golden hamster,98.6,NA,120,50.97,48,48,3.9,46.8,0.69,108.2,acceptable,105,46.8,NA,NA,NA,83.4,NOC,Mesocricetus_auratus
Mesocricetus brandti,Chordata,Mammalia,Rodentia,Cricetidae,Mesocricetus,Brandt's hamster,198,NA,NA,43.14,41,48,4.4,52.8,NA,NA,acceptable,174,52.8,NA,NA,NA,52.8,NA,Mesocricetus_brandti
Mesodesma arctatum,Mollusca,Bivalvia,Veneroida,Mesodesmatidae,Mesodesma,Arctic wedgeclam,NA,NA,NA,NA,NA,NA,24,288,NA,NA,acceptable,NA,NA,NA,NA,NA,288,NA,Mesodesma_arctatum
Mesoplodon densirostris,Chordata,Mammalia,Cetacea,Hyperoodontidae,Mesoplodon,Blainville's beaked whale,2299999.99,NA,324,3788.23,3287,3287,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,324,NA,Mesoplodon_densirostris
Mesoplodon europaeus,Chordata,Mammalia,Cetacea,Hyperoodontidae,Mesoplodon,Gervais's beaked whale,5600000.02,NA,NA,NA,NA,NA,48,576,NA,NA,acceptable,5600000,576,NA,NA,NA,576,NA,Mesoplodon_europaeus
Metachirus nudicaudatus,Chordata,Mammalia,Didelphimorphia,Didelphidae,Metachirus,Brown four-eyed opossum,363.77,336,48,NA,NA,NA,3,36,1.144,336,acceptable,440,36,390,NA,3.626,42,NA,Metachirus_nudicaudatus
Meuschenia scaber,Chordata,Actinopterygii,Tetraodontiformes,Monacanthidae,Meuschenia,Smooth leatherjacket,NA,NA,NA,NA,559,555,17.1,205.2,NA,NA,acceptable,NA,NA,NA,NA,NA,205.2,NA,Meuschenia_scaber
Micaelamys namaquensis,Chordata,Mammalia,Rodentia,Muridae,Micaelamys,"Namaqua rock rat, or Rock mouse",57.1,57.3,NA,NA,NA,NA,4.7,56.4,0.292,62.6,acceptable,47.6,56.4,NA,NA,NA,56.4,NA,Micaelamys_namaquensis
Mico argentatus,Chordata,Mammalia,Primates,Callitrichidae,Mico,Silvery marmoset,NA,NA,NA,NA,304,334,16.5,198,NA,NA,acceptable,343.2,198,NA,NA,NA,198,NA,Mico_argentatus
Mico humeralifer,Chordata,Mammalia,Primates,Callitrichidae,Mico,Tassel-eared marmoset,NA,NA,NA,NA,304,334,15,180,NA,NA,acceptable,355.8,180,NA,NA,NA,180,NA,Mico_humeralifer
Micralestes acutidens,Chordata,Actinopterygii,Characiformes,Alestiidae,Micralestes,Sharptooth tetra,NA,NA,NA,NA,NA,NA,3,36,NA,NA,acceptable,1.1,36,NA,NA,NA,36,NA,Micralestes_acutidens
Micrathene whitneyi,Chordata,Aves,Strigiformes,Strigidae,Micrathene,Elf owl,NA,NA,NA,NA,365,NA,14,168,0.259435,45.9,acceptable,41,168,NA,NA,NA,168,NA,Micrathene_whitneyi
Microcarbo melanoleucos,Chordata,Aves,Suliformes,Phalacrocoracidae,Microcarbo,Little pied cormorant,NA,NA,NA,NA,NA,NA,13.1,157.2,NA,NA,acceptable,NA,NA,650,NA,5.53224,157.2,NA,Microcarbo_melanoleucos
Microcebus murinus,Chordata,Mammalia,Primates,Cheirogaleidae,Microcebus,Gray mouse lemur,69,101.05,186,355.53,243,243,18.2,218.4,NA,NA,acceptable,64.8,218.4,54,NA,1.78,202.2,NOC,Microcebus_murinus
Microcebus rufus,Chordata,Mammalia,Primates,Cheirogaleidae,Microcebus,Brown mouse lemur,48.39,NA,144,NA,299,243,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,144,NA,Microcebus_rufus
Microchirus variegatus,Chordata,Teleostei,Pleuronectiformes,Soleidae,Microchirus,Thickback sole,NA,NA,NA,NA,NA,NA,14,168,NA,NA,acceptable,NA,168,NA,NA,NA,168,NA,Microchirus_variegatus
Microdipodops megacephalus,Chordata,Mammalia,Rodentia,Heteromyidae,Microdipodops,Dark kangaroo mouse,12.3,11,65,NA,NA,NA,NA,NA,0.168,11,low,NA,NA,NA,NA,NA,65,NOC,Microdipodops_megacephalus
Microeca fascinans,Chordata,Aves,Passeriformes,Petroicidae,Microeca,Jacky winter,NA,NA,NA,NA,NA,NA,5.3,63.6,NA,NA,acceptable,NA,NA,14.5,NA,0.55944,63.6,NA,Microeca_fascinans
Microeca flavigaster,Chordata,Aves,Passeriformes,Petroicidae,Microeca,Lemon-bellied flyrobin,NA,NA,NA,NA,NA,NA,4.1,49.2,NA,NA,acceptable,NA,NA,12.3,NA,0.52836,49.2,NA,Microeca_flavigaster
Microgale dobsoni,Chordata,Mammalia,Afrosoricida,Tenrecidae,Microgale,Dobson's shrew tenrec,36.66,44.6,67.2,680.59,669,669,5.6,67.2,0.315,44.6,acceptable,37.8,67.2,32.6,NA,0.56,67.2,NA,Microgale_dobsoni
Microgale talazaci,Chordata,Mammalia,Afrosoricida,Tenrecidae,Microgale,Talazac's shrew tenrec,43.07,44,70,394.57,639,639,5.8,69.6,0.243,44,acceptable,50,69.6,NA,NA,NA,69.8,NA,Microgale_talazaci
Microhyla ornata,Chordata,Amphibia,Anura,Microhylidae,Microhyla,Ornate narrow-mouthed frog,NA,NA,NA,NA,547,182,5,60,NA,NA,acceptable,1.65,60,NA,NA,NA,60,NOC,Microhyla_ornata
Micromesistius poutassou,Chordata,Teleostei,Gadiformes,Gadidae,Micromesistius,Blue whiting,NA,NA,NA,NA,602,602,20,240,NA,NA,acceptable,456.5,240,NA,NA,NA,240,NA,Micromesistius_poutassou
Micromys minutus,Chordata,Mammalia,Rodentia,Muridae,Micromys,Old World harvest mouse,6.99,7.37,60,37.37,40,37,3.8,45.6,0.201,7.6,acceptable,6,45.6,NA,NA,NA,52.8,NA,Micromys_minutus
Micropogonias furnieri,Chordata,Actinopterygii,Perciformes,Sciaenidae,Micropogonias,Whitemouth drummer,NA,NA,NA,NA,1277,1277,7,84,NA,NA,acceptable,55.3,84,NA,NA,NA,84,NA,Micropogonias_furnieri
Micropogonias undulatus,Chordata,Actinopterygii,Perciformes,Sciaenidae,Micropogonias,Atlantic croaker,NA,NA,NA,NA,365,365,5,60,NA,NA,acceptable,1419,60,NA,NA,NA,60,NA,Micropogonias_undulatus
Micropterus dolomieu,Chordata,Actinopterygii,Perciformes,Centrarchidae,Micropterus,Smallmouth bass,NA,NA,NA,NA,2007,2007,26,312,NA,NA,acceptable,2975.5,312,NA,NA,NA,312,NA,Micropterus_dolomieu
Micropterus punctulatus,Chordata,Actinopterygii,Perciformes,Centrarchidae,Micropterus,Spotted bass,NA,NA,NA,NA,NA,NA,7,84,NA,NA,acceptable,2557,84,NA,NA,NA,84,NA,Micropterus_punctulatus
Micropterus salmoides,Chordata,Actinopterygii,Perciformes,Centrarchidae,Micropterus,Largemouth bass,NA,NA,NA,NA,1642,1277,23,276,NA,NA,acceptable,5527.5,276,NA,NA,NA,276,NA,Micropterus_salmoides
Microstomus kitt,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Microstomus,Lemon sole,NA,NA,NA,NA,1460,1460,23,276,NA,NA,acceptable,1600,276,NA,NA,NA,276,NA,Microstomus_kitt
Microstomus pacificus,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Microstomus,Dover sole,NA,NA,NA,NA,2738,2738,45,540,NA,NA,acceptable,NA,540,NA,NA,NA,540,NA,Microstomus_pacificus
Microtus agrestis,Chordata,Mammalia,Rodentia,Cricetidae,Microtus,Field vole,35.87,NA,39.6,38.27,36,42,4.8,57.6,0.367,25,acceptable,46,57.6,NA,NA,NA,48.6,NA,Microtus_agrestis
Microtus arvalis,Chordata,Mammalia,Rodentia,Cricetidae,Microtus,Common vole,26.9,22,36,28.19,38,56,4.8,57.6,0.343,21.9,acceptable,27.5,57.6,NA,NA,NA,46.8,NA,Microtus_arvalis
Microtus guentheri,Chordata,Mammalia,Rodentia,Cricetidae,Microtus,Guenther's vole,49.99,NA,46.8,73.21,60,95,3.9,46.8,0.447,43.8,acceptable,51.6,46.8,NA,NA,NA,46.8,NA,Microtus_guentheri
Microtus ochrogaster,Chordata,Mammalia,Rodentia,Cricetidae,Microtus,Prairie vole,42.5,47.4,NA,36.19,47,NA,5.3,63.6,0.41,48.2,acceptable,40,63.6,NA,NA,NA,63.6,NA,Microtus_ochrogaster
Microtus oeconomus,Chordata,Mammalia,Rodentia,Cricetidae,Microtus,Tundra vole,33.1,33.7,21.6,44.86,30,48,NA,NA,0.566,32.8,low,NA,NA,33.7,0.559266667,NA,21.6,NA,Microtus_oeconomus
Microtus oregoni,Chordata,Mammalia,Rodentia,Cricetidae,Microtus,NA,20.35,NA,15,34.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,Microtus_oregoni
Microtus pennsylvanicus,Chordata,Mammalia,Rodentia,Cricetidae,Microtus,Meadow vole,42.53,58.1,11,31.74,29,37,NA,NA,0.428,38.2,low,NA,NA,34.775,NA,NA,11,NA,Microtus_pennsylvanicus
Microtus pinetorum,Chordata,Mammalia,Rodentia,Cricetidae,Microtus,Woodland vole,25.95,24.5,33.6,74.82,98,NA,3.8,45.6,0.305,24.8,acceptable,25.5,45.6,23.8,0.310722222,NA,39.6,NA,Microtus_pinetorum
Microtus richardsoni,Chordata,Mammalia,Rodentia,Cricetidae,Microtus,Water vole,85.5,65.7,18,NA,NA,NA,NA,NA,0.701,64.5,low,NA,NA,NA,NA,NA,18,NA,Microtus_richardsoni
Micruroides euryxanthus,Chordata,Reptilia,Squamata,Elapidae,Micruroides,Western coral snake,NA,NA,NA,NA,NA,NA,17.6,211.2,NA,NA,acceptable,56,211.2,NA,NA,NA,211.2,NA,Micruroides_euryxanthus
Micrurus fulvius,Chordata,Reptilia,Squamata,Elapidae,Micrurus,Eastern coral snake,NA,NA,NA,NA,NA,NA,19,228,NA,NA,acceptable,682,228,NA,NA,NA,228,DIU,Micrurus_fulvius
Millardia gleadowi,Chordata,Mammalia,Rodentia,Muridae,Millardia,Sand-colored rat,NA,NA,48,NA,NA,NA,4,48,NA,NA,acceptable,70,48,NA,NA,NA,48,NA,Millardia_gleadowi
Milvus migrans,Chordata,Aves,Accipitriformes,Accipitridae,Milvus,Black kite,NA,NA,NA,NA,1095,1095,24,288,NA,NA,acceptable,1000,288,587,NA,6.02952,288,NA,Milvus_migrans
Milvus milvus,Chordata,Aves,Accipitriformes,Accipitridae,Milvus,Red kite,NA,NA,NA,NA,1095,1095,38,456,NA,NA,acceptable,1080,456,NA,NA,NA,456,NA,Milvus_milvus
Mimus polyglottos,Chordata,Aves,Passeriformes,Mimidae,Mimus,Northern mockingbird,NA,NA,NA,NA,365,365,20,240,NA,NA,acceptable,53,240,NA,NA,NA,240,DIU,Mimus_polyglottos
Miniopterus schreibersii,Chordata,Mammalia,Chiroptera,Miniopteridae,Miniopterus,Schreibers's long-fingered bat,11.46,NA,168,666.44,577,730,22,264,0.145,10.9,acceptable,13,264,10.91,0.144254444,NA,216,NA,Miniopterus_schreibersii
Minytrema melanops,Chordata,Teleostei,Cypriniformes,Catostomidae,Minytrema,Spotted sucker,NA,NA,NA,NA,NA,NA,6,72,NA,NA,acceptable,676.5,72,NA,NA,NA,72,NA,Minytrema_melanops
Miopithecus talapoin,Chordata,Mammalia,Primates,Cercopithecidae,Miopithecus,"Southern talapoin monkey, or Talapoin",1248.86,NA,370.8,1733.36,1395,2008,27.7,332.4,NA,NA,acceptable,1384.5,332.4,NA,NA,NA,351.6,NA,Miopithecus_talapoin
Mirounga angustirostris,Chordata,Mammalia,Carnivora,Phocidae,Mirounga,Northern elephant seal,1112390.81,NA,243.5,1522.5,1095,1826,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,243.5,NA,Mirounga_angustirostris
Mirounga leonina,Chordata,Mammalia,Carnivora,Phocidae,Mirounga,Southern elephant seal,1600000,NA,276,1607.08,1059,1825,NA,NA,NA,NA,low,NA,NA,NA,NA,1205,276,NA,Mirounga_leonina
Mirza coquereli,Chordata,Mammalia,Primates,Cheirogaleidae,Mirza,Giant mouse lemur,326.5,NA,183.6,343.74,312,275,17.4,208.8,NA,NA,acceptable,311.2,208.8,NA,NA,NA,196.2,NA,Mirza_coquereli
Misgurnus fossilis,Chordata,Teleostei,Cypriniformes,Cobitidae,Misgurnus,"Weatherfish, or Loach",NA,NA,NA,NA,NA,NA,21.7,260.4,NA,NA,acceptable,NA,260.4,NA,NA,NA,260.4,NA,Misgurnus_fossilis
Mitu tuberosum,Chordata,Aves,Galliformes,Cracidae,Mitu,Razor-billed curassow,NA,NA,NA,NA,NA,NA,23,276,NA,NA,acceptable,2813,276,NA,NA,NA,276,NA,Mitu_tuberosum
Mixophyes fleayi,Chordata,Amphibia,Anura,Myobatrachidae,Mixophyes,Fleay's barred frog,NA,NA,NA,NA,NA,NA,8,96,NA,NA,acceptable,NA,NA,NA,NA,NA,96,NA,Mixophyes_fleayi
Mniotilta varia,Chordata,Aves,Passeriformes,Parulidae,Mniotilta,Black-and-white warbler,NA,NA,NA,NA,365,365,12.2,146.4,0.12727,8.2,acceptable,10.9,146.4,NA,NA,NA,146.4,DIU,Mniotilta_varia
Modiolus modiolus,Mollusca,Bivalvia,Mytiloida,Mytilidae,Modiolus,Northern horsemussel,NA,NA,NA,NA,NA,NA,48,576,NA,NA,acceptable,NA,NA,NA,NA,NA,576,NA,Modiolus_modiolus
Mogera imaizumii,Chordata,Mammalia,Soricomorpha,Talpidae,Mogera,NA,65.53,NA,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,NA,Mogera_imaizumii
Mogera wogura,Chordata,Mammalia,Soricomorpha,Talpidae,Mogera,Japanese mole,96.88,NA,42,NA,NA,NA,3.2,38.4,NA,NA,acceptable,97,38.4,NA,NA,NA,40.2,NA,Mogera_wogura
Mokopirirakau granulatus,Chordata,Reptilia,Squamata,Diplodactylidae,Mokopirirakau,Forest gecko,NA,NA,NA,NA,NA,NA,21,252,NA,NA,acceptable,NA,252,NA,NA,NA,252,NA,Mokopirirakau_granulatus
Molossus molossus,Chordata,Mammalia,Chiroptera,Molossidae,Molossus,Pallas's mastiff bat,13.7,16.5,NA,103.46,103,NA,5.6,67.2,NA,NA,acceptable,14,67.2,NA,NA,NA,67.2,NA,Molossus_molossus
Molothrus ater,Chordata,Aves,Passeriformes,Icteridae,Molothrus,Brown-headed cowbird,NA,NA,NA,NA,365,365,16.9,202.8,0.6315,42.5,acceptable,38.1,202.8,49.85,NA,NA,202.8,NA,Molothrus_ater
Molva dypterygia,Chordata,Teleostei,Gadiformes,Gadidae,Molva,Blue ling,NA,NA,NA,NA,3650,3650,25,300,NA,NA,acceptable,16500,300,NA,NA,NA,300,NA,Molva_dypterygia
Molva macrophthalma,Chordata,Teleostei,Gadiformes,Gadidae,Molva,Mediterranean ling,NA,NA,NA,NA,NA,NA,20,240,NA,NA,acceptable,NA,240,NA,NA,NA,240,NA,Molva_macrophthalma
Momotus mexicanus,Chordata,Aves,Coraciiformes,Momotidae,Momotus,Russet-crowned motmot,NA,NA,NA,NA,NA,NA,10.4,124.8,NA,NA,acceptable,75.7,124.8,NA,NA,NA,124.8,NA,Momotus_mexicanus
Momotus momota,Chordata,Aves,Coraciiformes,Momotidae,Momotus,Blue-crowned motmot,NA,NA,NA,NA,NA,NA,20.3,243.6,NA,NA,acceptable,133,243.6,NA,NA,NA,243.6,DIU,Momotus_momota
Monachus monachus,Chordata,Mammalia,Carnivora,Phocidae,Monachus,Mediterranean monk seal,294881.33,NA,284.4,1567.84,1461,1461,NA,NA,NA,NA,low,NA,NA,NA,NA,480,284.4,NA,Monachus_monachus
Monachus schauinslandi,Chordata,Mammalia,Carnivora,Phocidae,Monachus,Hawaiian monk seal,222999.99,NA,360,1687.65,1825,NA,NA,NA,NA,NA,low,NA,NA,NA,NA,370,360,NA,Monachus_schauinslandi
Monarcha melanopsis,Chordata,Aves,Passeriformes,Monarchidae,Monarcha,Black-faced monarch,NA,NA,NA,NA,NA,NA,5.2,62.4,NA,NA,acceptable,NA,NA,23,NA,0.95312,62.4,NA,Monarcha_melanopsis
Monodelphis adusta,Chordata,Mammalia,Didelphimorphia,Didelphidae,Monodelphis,Sepia short-tailed opossum,36.04,NA,NA,NA,NA,NA,4.1,49.2,NA,NA,acceptable,35,49.2,NA,NA,NA,49.2,NA,Monodelphis_adusta
Monodelphis brevicaudata,Chordata,Mammalia,Didelphimorphia,Didelphidae,Monodelphis,"Northern red-sided opossum, or Short bare-tailed opossum",78.84,93.5,12,187.19,180,180,3.9,46.8,0.366,91.5,acceptable,90,46.8,64.6,NA,0.9324,29.4,NA,Monodelphis_brevicaudata
Monodelphis dimidiata,Chordata,Mammalia,Didelphimorphia,Didelphidae,Monodelphis,NA,44.56,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,Monodelphis_dimidiata
Monodelphis domestica,Chordata,Mammalia,Didelphimorphia,Didelphidae,Monodelphis,Gray short-tailed opossum,93.45,104,72,162.11,122,122,5.1,61.2,0.335,104,acceptable,105,61.2,NA,NA,NA,66.6,NOC,Monodelphis_domestica
Monodon monoceros,Chordata,Mammalia,Cetacea,Monodontidae,Monodon,Narwhal,938126.44,NA,480,2580.24,2191,2922,50,600,NA,NA,acceptable,1250000,600,NA,NA,NA,540,NA,Monodon_monoceros
Morelia amethistina,Chordata,Reptilia,Squamata,Pythonidae,Morelia,Scrub python,NA,NA,NA,NA,NA,NA,13.8,165.6,NA,NA,acceptable,NA,165.6,NA,NA,NA,165.6,NA,Morelia_amethistina
Morelia boeleni,Chordata,Reptilia,Squamata,Pythonidae,Morelia,Boelen's python,NA,NA,NA,NA,NA,NA,20.1,241.2,NA,NA,acceptable,NA,241.2,NA,NA,NA,241.2,NA,Morelia_boeleni
Morelia spilota,Chordata,Reptilia,Squamata,Pythonidae,Morelia,Carpet python,NA,NA,NA,NA,NA,NA,19.6,235.2,NA,NA,acceptable,15926,235.2,1516.5,0.289149954,NA,235.2,NA,Morelia_spilota
Morelia viridis,Chordata,Reptilia,Squamata,Pythonidae,Morelia,Green tree python,NA,NA,NA,NA,NA,NA,20.6,247.2,NA,NA,acceptable,3113,247.2,NA,NA,NA,247.2,NOC,Morelia_viridis
Mormyrus rume,Chordata,Teleostei,Osteoglossiformes,Mormyridae,Mormyrus,Mormyrids,NA,NA,NA,NA,NA,NA,6,72,NA,NA,acceptable,2915,72,NA,NA,NA,72,NA,Mormyrus_rume
Morone americana,Chordata,Actinopterygii,Perciformes,Moronidae,Morone,White perch,NA,NA,NA,NA,NA,NA,7,84,NA,NA,acceptable,1210,84,NA,NA,NA,84,NA,Morone_americana
Morone chrysops,Chordata,Actinopterygii,Perciformes,Moronidae,Morone,White bass,NA,NA,NA,NA,1095,730,9,108,NA,NA,acceptable,1537.25,108,NA,NA,NA,108,NA,Morone_chrysops
Morone mississippiensis,Chordata,Actinopterygii,Perciformes,Moronidae,Morone,Yellow bass,NA,NA,NA,NA,NA,NA,6,72,NA,NA,acceptable,6050,72,NA,NA,NA,72,NA,Morone_mississippiensis
Morone saxatilis,Chordata,Actinopterygii,Perciformes,Moronidae,Morone,Striped bass,NA,NA,NA,NA,NA,NA,30,360,NA,NA,acceptable,31350,360,NA,NA,NA,360,NA,Morone_saxatilis
Morus bassanus,Chordata,Aves,Suliformes,Sulidae,Morus,Northern gannet,NA,NA,NA,NA,730,1095,37.4,448.8,NA,NA,acceptable,2950,448.8,NA,NA,NA,448.8,NA,Morus_bassanus
Morus serrator,Chordata,Aves,Suliformes,Sulidae,Morus,Australasian gannet,NA,NA,NA,NA,NA,NA,33,396,NA,NA,acceptable,2350,396,NA,NA,NA,396,NA,Morus_serrator
Moschiola meminna,Chordata,Mammalia,Artiodactyla,Tragulidae,Moschiola,Indian spotted chevrotain,3130.95,NA,NA,NA,NA,NA,14.5,174,NA,NA,acceptable,2450,174,NA,NA,NA,174,NA,Moschiola_meminna
Motacilla alba,Chordata,Aves,Passeriformes,Motacillidae,Motacilla,White wagtail,NA,NA,NA,NA,365,365,13.7,164.4,0.3,18,acceptable,24.1,164.4,NA,NA,NA,164.4,DIU,Motacilla_alba
Motacilla cinerea,Chordata,Aves,Passeriformes,Motacillidae,Motacilla,Grey wagtail,NA,NA,NA,NA,365,365,8,96,NA,NA,acceptable,17.2,96,NA,NA,NA,96,DIU,Motacilla_cinerea
Motacilla flava,Chordata,Aves,Passeriformes,Motacillidae,Motacilla,Yellow wagtail,NA,NA,NA,NA,365,365,8.8,105.6,0.257,14.7,acceptable,17.7,105.6,NA,NA,NA,105.6,DIU,Motacilla_flava
Moxostoma anisurum,Chordata,Teleostei,Cypriniformes,Catostomidae,Moxostoma,Silver redhorse,NA,NA,NA,NA,NA,NA,10,120,NA,NA,acceptable,5940,120,NA,NA,NA,120,NA,Moxostoma_anisurum
Moxostoma breviceps,Chordata,Teleostei,Cypriniformes,Catostomidae,Moxostoma,Hookfin redhorse,NA,NA,NA,NA,1460,1460,8,96,NA,NA,questionable,750,96,NA,NA,NA,96,NA,Moxostoma_breviceps
Moxostoma carinatum,Chordata,Teleostei,Cypriniformes,Catostomidae,Moxostoma,River redhorse,NA,NA,NA,NA,1095,1095,12,144,NA,NA,questionable,3089,144,NA,NA,NA,144,NA,Moxostoma_carinatum
Moxostoma duquesnii,Chordata,Teleostei,Cypriniformes,Catostomidae,Moxostoma,Black redhorse,NA,NA,NA,NA,1095,1095,10,120,NA,NA,acceptable,1250,120,NA,NA,NA,120,NA,Moxostoma_duquesnii
Moxostoma erythrurum,Chordata,Teleostei,Cypriniformes,Catostomidae,Moxostoma,Golden redhorse,NA,NA,NA,NA,NA,NA,11,132,NA,NA,acceptable,2244,132,NA,NA,NA,132,NA,Moxostoma_erythrurum
Moxostoma macrolepidotum,Chordata,Teleostei,Cypriniformes,Catostomidae,Moxostoma,Shorthead redhorse,NA,NA,NA,NA,NA,NA,9,108,NA,NA,acceptable,2194.5,108,NA,NA,NA,108,NA,Moxostoma_macrolepidotum
Mugil cephalus,Chordata,Teleostei,Mugiliformes,Mugilidae,Mugil,Striped mullet,NA,NA,NA,NA,730,730,16,192,NA,NA,acceptable,4400,192,NA,NA,NA,192,NA,Mugil_cephalus
Mullus surmuletus,Chordata,Actinopterygii,Perciformes,Mullidae,Mullus,Red mullet,NA,NA,NA,NA,730,730,10,120,NA,NA,acceptable,550,120,NA,NA,NA,120,NA,Mullus_surmuletus
Mungos mungo,Chordata,Mammalia,Carnivora,Herpestidae,Mungos,Banded mongoose,1260,NA,144,349.33,289,NA,17.4,208.8,NA,NA,high,1331.5,208.8,930,NA,10.8,176.4,NA,Mungos_mungo
Muntiacus muntjak,Chordata,Mammalia,Artiodactyla,Cervidae,Muntiacus,Indian muntjac,17611.59,NA,211.2,338.33,272,332,18.8,225.6,NA,NA,acceptable,21000,225.6,NA,NA,NA,218.4,NA,Muntiacus_muntjak
Muntiacus reevesi,Chordata,Mammalia,Artiodactyla,Cervidae,Muntiacus,Reeves's muntjac,13499.94,NA,NA,295.12,274,NA,23.2,278.4,NA,NA,high,18000,278.4,NA,NA,NA,278.4,NA,Muntiacus_reevesi
Mus minutoides,Chordata,Mammalia,Rodentia,Muridae,Mus,"Southern African pygmy mouse, or Pygmy mouse",6.43,7.92,37.2,57.35,60,77,4.3,51.6,0.129,8,acceptable,7.2,51.6,NA,NA,NA,44.4,NA,Mus_minutoides
Mus musculus,Chordata,Mammalia,Rodentia,Muridae,Mus,House mouse,19.3,35.7,72,64.71,42,42,4,48,0.271,18,high,20.5,48,32.1,0.2889,NA,60,NOC,Mus_musculus
Mus spicilegus,Chordata,Mammalia,Rodentia,Muridae,Mus,Mound-building mouse,NA,NA,NA,103.46,65,42,3.5,42,NA,NA,acceptable,NA,42,NA,NA,NA,42,NA,Mus_spicilegus
Muscardinus avellanarius,Chordata,Mammalia,Rodentia,Gliridae,Muscardinus,Hazel dormouse,29.19,NA,72,346.11,335,335,5.3,63.6,0.351,23.5,acceptable,27.3,63.6,13,NA,0.5,67.8,NA,Muscardinus_avellanarius
Muscicapa striata,Chordata,Aves,Passeriformes,Muscicapidae,Muscicapa,Spotted flycatcher,NA,NA,NA,NA,365,365,11.8,141.6,0.2476,14.4,acceptable,15.9,141.6,NA,NA,NA,141.6,DIU,Muscicapa_striata
Mustela erminea,Chordata,Mammalia,Carnivora,Mustelidae,Mustela,Ermine,284.5,NA,85.23,93.09,95,365,12.5,150,1.276,125.5,acceptable,110.3,150,96.6,NA,NA,117.615,NA,Mustela_erminea
Mustela eversmanii,Chordata,Mammalia,Carnivora,Mustelidae,Mustela,Steppe polecat,1684.21,NA,NA,326.63,319,319,9.1,109.2,NA,NA,acceptable,1350,109.2,NA,NA,NA,109.2,NA,Mustela_eversmanii
Mustela frenata,Chordata,Mammalia,Carnivora,Mustelidae,Mustela,Long-tailed weasel,190.03,204.38,85.23,200.69,162,365,8.8,105.6,1.344,225,acceptable,150.6,105.6,NA,NA,NA,95.415,NA,Mustela_frenata
Mustela lutreola,Chordata,Mammalia,Carnivora,Mustelidae,Mustela,European mink,566.44,NA,120,351.71,323,323,8.4,100.8,NA,NA,acceptable,590,100.8,NA,NA,NA,110.4,NA,Mustela_lutreola
Mustela nigripes,Chordata,Mammalia,Carnivora,Mustelidae,Mustela,Black-footed ferret,907.1,NA,144,371.23,365,365,9.4,112.8,NA,NA,acceptable,1021,112.8,NA,NA,NA,128.4,NA,Mustela_nigripes
Mustela nivalis,Chordata,Mammalia,Carnivora,Mustelidae,Mustela,Least weasel,78.45,76.46,120,169.99,120,120,9.1,109.2,NA,NA,acceptable,46.9,109.2,NA,NA,NA,114.6,NA,Mustela_nivalis
Mustela putorius,Chordata,Mammalia,Carnivora,Mustelidae,Mustela,European polecat,975.55,1030,168,308.5,312,322,11.1,133.2,NA,NA,acceptable,809,133.2,NA,NA,7.05,150.6,NA,Mustela_putorius
