phylum,class,order,family,genus,species,specificEpithet,sex,sampleSizeValue,body mass,body mass_minimum,body mass_maximum,metabolic rate,metabolic rate_minimum,metabolic rate_maximum,original respiratoryQuotient,original temperature,mass-specific metabolic rate,brain size
Chordata,Aves,Caprimulgiformes,Caprimulgidae,Eurostopodus,Eurostopodus argus,argus,,1,0.0975,,,,,,,,,0.00128464
Chordata,Aves,Caprimulgiformes,Caprimulgidae,Caprimulgus,Caprimulgus macrurus,macrurus,,1,0.0675,,,,,,,,,0.00104636
Chordata,Aves,Apodiformes,Aegothelidae,Aegotheles,Aegotheles cristatus,cristatus,,1,0.045,,,,,,,,,0.00147112
Chordata,Aves,Apodiformes,Apodidae,Aerodramus,Aerodramus terraereginae,terraereginae,,1,0.0125,,,,,,,,,0.00024864
Chordata,Aves,Apodiformes,Apodidae,Hirundapus,Hirundapus caudacutus,caudacutus,,1,0.1175,,,,,,,,,0.00133644
Chordata,Aves,Procellariiformes,Oceanitidae,Oceanites,Oceanites oceanicus,oceanicus,,1,0.035,,,,,,,,,0.00073556
Chordata,Aves,Procellariiformes,Oceanitidae,Pelagodroma,Pelagodroma marina,marina,,1,0.055,,,,,,,,,0.00100492
Chordata,Aves,Procellariiformes,Diomedeidae,Diomedea,Diomedea exulans,exulans,,1,8.59,,,,,,,,,0.029267
Chordata,Aves,Procellariiformes,Diomedeidae,Thalassarche,Thalassarche cauta,cauta,,1,4.025,,,,,,,,,0.02003624
Chordata,Aves,Procellariiformes,Diomedeidae,Thalassarche,Thalassarche chrysostoma,chrysostoma,,1,3.41,,,,,,,,,0.0198394
Chordata,Aves,Procellariiformes,Diomedeidae,Phoebetria,Phoebetria palpebrata,palpebrata,,1,2.8,,,,,,,,,0.01754984
Chordata,Aves,Procellariiformes,Procellariidae,Macronectes,Macronectes giganteus,giganteus,,1,4.34,,,,,,,,,0.01858584
Chordata,Aves,Procellariiformes,Procellariidae,Fulmarus,Fulmarus glacialoides,glacialoides,,1,0.8,,,,,,,,,0.00772856
Chordata,Aves,Procellariiformes,Procellariidae,Daption,Daption capense,capense,,1,0.44,,,,,,,,,0.00520072
Chordata,Aves,Procellariiformes,Procellariidae,Halobaena,Halobaena caerulea,caerulea,,1,0.201,,,,,,,,,0.00286972
Chordata,Aves,Procellariiformes,Procellariidae,Pachyptila,Pachyptila salvini,salvini,,1,0.162,,,,,,,,,0.00213416
Chordata,Aves,Procellariiformes,Procellariidae,Pachyptila,Pachyptila desolata,desolata,,1,0.152,,,,,,,,,0.0021756
Chordata,Aves,Procellariiformes,Procellariidae,Pachyptila,Pachyptila belcheri,belcheri,,1,0.149,,,,,,,,,0.002072
Chordata,Aves,Procellariiformes,Procellariidae,Pachyptila,Pachyptila turtur,turtur,,1,0.1279,,,,,,,,,0.002072
Chordata,Aves,Procellariiformes,Procellariidae,Procellaria,Procellaria aequinoctialis,aequinoctialis,,1,1.369,,,,,,,,,0.00931364
Chordata,Aves,Procellariiformes,Procellariidae,Procellaria,Procellaria cinerea,cinerea,,1,1.032,,,,,,,,,0.00879564
Chordata,Aves,Procellariiformes,Procellariidae,Ardenna,Ardenna pacifica,pacifica,,1,0.465,,,,,,,,,0.00411292
Chordata,Aves,Procellariiformes,Procellariidae,Ardenna,Ardenna grisea,grisea,,1,0.8,,,,,,,,,0.00550116
Chordata,Aves,Procellariiformes,Procellariidae,Ardenna,Ardenna tenuirostris,tenuirostris,,1,0.585,,,,,,,,,0.004662
Chordata,Aves,Procellariiformes,Procellariidae,Puffinus,Puffinus gavia,gavia,,1,0.266,,,,,,,,,0.00302512
Chordata,Aves,Procellariiformes,Procellariidae,Lugensa,Lugensa brevirostris,brevirostris,,1,0.357,,,,,,,,,0.00441336
Chordata,Aves,Procellariiformes,Procellariidae,Pterodroma,Pterodroma lessonii,lessonii,,1,0.692,,,,,,,,,0.00608132
Chordata,Aves,Procellariiformes,Procellariidae,Pterodroma,Pterodroma macroptera,macroptera,,1,0.58,,,,,,,,,0.00505568
Chordata,Aves,Procellariiformes,Procellariidae,Pterodroma,Pterodroma leucoptera,leucoptera,,1,0.18,,,,,,,,,0.00256928
