species,class,order,family,panth_bodymass_g,aa_bodymass_g,kup_AdultMass,AT_bodymass_g,mean_long,diel,logage
Phalaropus_lobatus,Aves,Charadriiformes,Scolopacidae,NA,NA,33.8,34,154.8,DIU,5.042133961155627
Phascolarctos_cinereus,Mammalia,Diprotodontia,Phascolarctidae,6528.74,4732.4,9300,5888,252.6,NOC,5.531807209916391
Phasianus_colchicus,Aves,Galliformes,Phasianidae,NA,NA,1094.8,625,324,DIU,5.780743515792329
Phelsuma_madagascariensis,Reptilia,Squamata,Gekkonidae,NA,NA,20.7,NA,163.2,DIU,5.094976442530006
Pheucticus_ludovicianus,Aves,Passeriformes,Cardinalidae,NA,NA,47.325,NA,288,DIU,5.662960480135946
Phoca_vitulina,Mammalia,Carnivora,Phocidae,87316.66,27400,115000,NA,525.6,ARR,6.2645404671704
Phocoena_phocoena,Mammalia,Cetacea,Phocoenidae,52730.93,28500,52500,NA,212.4,ARR,5.358471289367784
Phoebastria_nigripes,Aves,Procellariiformes,Diomedeidae,NA,NA,2800,NA,505.2,ARR,6.224954390476336
Phoenicopterus_chilensis,Aves,Phoenicopteriformes,Phoenicopteridae,NA,NA,2277,NA,440.4,NOC,6.087683404848525
Phoenicurus_phoenicurus,Aves,Passeriformes,Muscicapidae,NA,NA,14.6,NA,122.4,DIU,4.807294370078226
Phrynomantis_bifasciatus,Amphibia,Anura,Microhylidae,NA,NA,NA,NA,123.6,NOC,4.817050545023591
Phyllomedusa_bicolor,Amphibia,Anura,Phyllomedusidae,NA,NA,NA,NA,123.6,NOC,4.817050545023591
Phylloscopus_collybita,Aves,Passeriformes,Phylloscopidae,NA,8.2,8.3,NA,96,DIU,4.564348191467836
Phylloscopus_trochilus,Aves,Passeriformes,Phylloscopidae,NA,10.7,8.7,NA,141.6,DIU,4.953006181259619
Physignathus_cocincinus,Reptilia,Squamata,Agamidae,NA,NA,193.42,NA,183.6,DIU,5.21275947818639
Physignathus_lesueurii,Reptilia,Squamata,Agamidae,NA,NA,NA,NA,226.8,DIU,5.4240685718535975
Picoides_tridactylus,Aves,Piciformes,Picidae,NA,NA,65.7,NA,134.4,DIU,4.900820428089049
Pipa_pipa,Amphibia,Anura,Pipidae,NA,NA,200,NA,92.4,NOC,4.526126978647638
Pipilo_chlorurus,Aves,Passeriformes,Passerellidae,NA,NA,28.88,30.25,92.4,DIU,4.526126978647638
Pipistrellus_kuhlii,Mammalia,Chiroptera,Vespertilionidae,6.07,NA,6,NA,96,NOC,4.564348191467836
Piranga_olivacea,Aves,Passeriformes,Cardinalidae,NA,NA,29,NA,142.8,DIU,4.9614450499054845
Piranga_rubra,Aves,Passeriformes,Cardinalidae,NA,NA,40,NA,94.8,DIU,4.551769409260976
Pituophis_catenifer,Reptilia,Squamata,Colubridae,NA,NA,7275.5,NA,405.6,ARR,6.005367452276974
Platysternon_megacephalum,Reptilia,Testudines,Platysternidae,NA,NA,NA,NA,324,NOC,5.780743515792329
Plectrophenax_nivalis,Aves,Passeriformes,Calcariidae,NA,NA,41.8,NA,122.4,DIU,4.807294370078226
Plethodon_cinereus,Amphibia,Caudata,Plethodontidae,NA,0.76,0.5,NA,300,NOC,5.703782474656201
Plethodon_elongatus,Amphibia,Caudata,Plethodontidae,NA,NA,NA,NA,159.6,NOC,5.072670685015709
Ploceus_cucullatus,Aves,Passeriformes,Ploceidae,NA,NA,36.2,NA,288,DIU,5.662960480135946
Podargus_strigoides,Aves,Caprimulgiformes,Podargidae,NA,NA,NA,285,214.8,NOC,5.36970736263471
Podocnemis_erythrocephala,Reptilia,Testudines,Podocnemididae,NA,NA,NA,NA,216,DIU,5.375278407684165
Podocnemis_expansa,Reptilia,Testudines,Podocnemididae,NA,NA,25800,NA,303.6,DIU,5.715711045521475
Poicephalus_robustus,Aves,Psittaciformes,Psittacidae,NA,NA,344,NA,356.4,DIU,5.876053695596654
Polioptila_caerulea,Aves,Passeriformes,Polioptilidae,NA,NA,6.5,NA,50.4,DIU,3.919991175077323
Pooecetes_gramineus,Aves,Passeriformes,Passerellidae,NA,21.5,25.7,NA,94.8,DIU,4.551769409260976
Procavia_capensis,Mammalia,Hyracoidea,Procaviidae,2952.48,2458,3600,1260,172.8,DIU,5.152134856369956
Procyon_lotor,Mammalia,Carnivora,Procyonidae,6373.72,4842.2,6000,4288.25,252,NOC,5.529429087511423
Propithecus_verreauxi,Mammalia,Primates,Indriidae,3588.26,3350,5000,NA,309.6,DIU,5.735281141715572
Pseudechis_australis,Reptilia,Squamata,Elapidae,NA,NA,8144,NA,133.2,ARR,4.891851758106289
Pseudemys_concinna,Reptilia,Testudines,Emydidae,NA,NA,2992,NA,528,DIU,6.269096283706261
Pseudis_paradoxa,Amphibia,Anura,Hylidae,NA,NA,70,NA,132,ARR,4.882801922586371
Pseudopus_apodus,Reptilia,Squamata,Anguidae,NA,NA,450,NA,648,DIU,6.473890696352274
Pseudotriton_ruber,Amphibia,Caudata,Plethodontidae,NA,NA,NA,NA,241.2,NOC,5.485626464853031
Psittacus_erithacus,Aves,Psittaciformes,Psittacidae,NA,NA,333,NA,596.4,DIU,6.390911582890583
Pterodroma_hypoleuca,Aves,Procellariiformes,Procellariidae,NA,NA,168.6,168.2,369.6,NOC,5.912421339767529
Pterodroma_sandwichensis,Aves,Procellariiformes,Procellariidae,NA,NA,434,NA,157.2,NOC,5.057518879995106
Pteropus_giganteus,Mammalia,Chiroptera,Pteropodidae,824.85,562.2,1175,374.8571429,452.4,NOC,6.114566744241966
Ptyodactylus_hasselquistii,Reptilia,Squamata,Phyllodactylidae,NA,NA,9.3,6.4,130.8,NOC,4.873669439023098
Puffinus_griseus,Aves,Procellariiformes,Procellariidae,NA,NA,740,268,408,DIU,6.0112671744041615
