species,panth_bodymass_g,mean_long,Diet,logage,logmass,diet.new
Sminthopsis_griseoventer,17.5,43.2,Carnivore,3.765840495250065,2.8622008809294686,Carnivore
Sminthopsis_macroura,23.56,58.8,Carnivore,4.074141854904581,3.159550358783386,Carnivore
Sminthopsis_virginiae,35.24,43.8,?,3.7796338173824005,3.562181801067979,NA
Sminthopsis_youngsoni,11.14,63.6,?,4.152613470346076,2.410542234499138,NA
Solenodon_paradoxus,899.99,140.6,?,4.9459189793765646,6.8023836521514705,NA
Sorex_araneus,9.18,31.2,Carnivore,3.4404180948154366,2.217027204632399,Carnivore
Sorex_caecutiens,6.3,30,Carnivore,3.4011973816621555,1.840549633397487,Carnivore
Spalacopus_cyanus,100.86,100.8,Herbivore,4.613138355637268,4.6137334166485795,Herbivore
Spalax_ehrenbergi,164.35,242.4,Herbivore,5.490589254195159,5.101998300110228,Herbivore
Speothos_venaticus,6324.54,146.6,?,4.987707789452551,8.752192583678237,NA
Spermophilus_citellus,395.97,80.4,?,4.387014176184921,5.981338450808973,NA
Spermophilus_pygmaeus,173.46,85.2,?,4.44500143383527,5.155947025256309,NA
Sphiggurus_mexicanus,2000,200.4,Herbivore,5.3003153692107094,7.600902459542082,Herbivore
Spilocuscus_maculatus,4060.46,168,?,5.123963979403259,8.309051546670373,NA
Spilogale_putorius,566.49,123,?,4.812184355372417,6.339459428061597,NA
Stenella_attenuata,65733.59,552,Carnivore,6.313548046277095,11.093365337140254,Carnivore
Stenella_coeruleoalba,142102.96,645,Carnivore,6.4692503167957724,11.864307144269368,Carnivore
Steno_bredanensis,130000,384,Carnivore,5.950642552587727,11.77528972943772,Carnivore
Sturnira_lilium,20.19,144,Omnivore,4.969813299576001,3.005187432324746,Omnivore
Suncus_murinus,43.76,34.2,?,3.5322256440685598,3.7787201581137255,NA
Sundasciurus_hippurus,357.79,168,Omnivore,5.123963979403259,5.879946222109427,Omnivore
Sundasciurus_lowii,84.99,133.2,Omnivore,4.891851758106289,4.442533602510535,Omnivore
Sundasciurus_tenuis,74.87,120,Omnivore,4.787491742782046,4.315753276242594,Omnivore
Suricata_suricatta,729.99,198.6,Carnivore,5.291292751611072,6.593030835418473,Carnivore
Sus_barbatus,135805.95,194.4,?,5.2699178920263385,11.818982307579898,NA
Sus_salvanius,7974.13,156,?,5.049856007249537,8.98395783079311,NA
Sus_scrofa,84471.54,288,Omnivore,5.662960480135946,11.344169951880085,Omnivore
Sus_verrucosus,89406.23,186,?,5.225746673713202,11.400945645534488,NA
Sylvicapra_grimmia,15639.15,178.38,Herbivore,5.183916106238061,9.6575326647963191,Herbivore
Sylvilagus_audubonii,880.88,93.6,Herbivore,4.539030383483547,6.7809214078053355,Herbivore
Sylvilagus_floridanus,1207.19,112.8,Herbivore,4.725616339063959,7.096050623787786,Herbivore
Sylvilagus_nuttallii,801.54,88.8,Herbivore,4.486386649998124,6.686534877229776,Herbivore
Sylvilagus_palustris,1355.23,91.2,Herbivore,4.513054897080286,7.211726460606727,Herbivore
Sylvilagus_transitionalis,813.51,111.6,Herbivore,4.71492104994721,6.701358219146539,Herbivore
Symphalangus_syndactylus,10839,486,Omnivore,6.186208623900494,9.29090601981575,Omnivore
Syncerus_caffer,592665.98,373.8,Herbivore,5.923720895021463,13.292386247782032,Herbivore
Tachyglossus_aculeatus,4499.97,597,Carnivore,6.391917113392602,8.411826009069522,Carnivore
Tadarida_brasiliensis,12.61,162,Carnivore,5.087596335232384,2.534490149976828,Carnivore
Tadarida_teniotis,28.07,156,Carnivore,5.049856007249537,3.334701390373791,Carnivore
Tamandua_mexicana,4178.51,153,Carnivore,5.030437921392435,8.33771000264193,Carnivore
Tamandua_tetradactyla,4800,168,Carnivore,5.123963979403259,8.476371196895983,Carnivore
Tamias_dorsalis,63.66,151.2,?,5.018603463745433,4.1535564218539465,NA
Tamias_minimus,42.87,97.98,Omnivore,4.584763376210429,3.7581722806098856,Omnivore
Tamias_sibiricus,94.16,115.2,?,4.746669748261791,4.544995462952021,NA
Tamias_striatus,NA,114,Omnivore,4.736198448394496,NA,Omnivore
Tamias_townsendii,79.12,97.8,Omnivore,4.582924577040772,4.370965687314457,Omnivore
Tamiasciurus_hudsonicus,200.24,130.8,Herbivore,4.873669439023098,5.299516647123519,Herbivore
Taphozous_hilli,21.99,105.6,?,4.659658371272161,3.09058780456667,NA
Tapirus_pinchaque,156923.4,342,Herbivore,5.834810737062605,11.963513067180273,Herbivore
Tapirus_terrestris,169496.64,447.6,Herbivore,6.10389997643777,12.040588382597313,Herbivore
Tatera_indica,138.28,84,Omnivore,4.430816798843313,4.929280615053424,Omnivore
Taurotragus_derbianus,646024.25,218.82,Herbivore,5.388249474048644,13.37859232075987,Herbivore
Taurotragus_oryx,562592.69,306.6,Herbivore,5.725543966437714,13.240311181707835,Herbivore
Taxidea_taxus,7842.15,306,Carnivore,5.723585101952381,8.96726831044287,Carnivore
Tayassu_pecari,31798.71,297,Omnivore,5.6937321388027,10.367181001907708,Omnivore
Tenrec_ecaudatus,887.59,90,Carnivore,4.499809670330265,6.7885099246587854,Carnivore
Tetracerus_quadricornis,19282.12,169.38,Herbivore,5.132144711493453,9.866933520625768,Herbivore
Theropithecus_gelada,15964.11,384,Omnivore,5.950642552587727,9.678098356648519,Omnivore
Thomomys_bottae,122.7,63.6,Herbivore,4.152613470346076,4.809742351716865,Herbivore
Thrichomys_apereoides,297.53,84,?,4.430816798843313,5.695515060237774,NA
Thryonomys_swinderianus,3750.85,58.2,Herbivore,4.063885354737392,8.229737759946115,Herbivore
Thylogale_billardierii,5865.86,112.8,Herbivore,4.725616339063959,8.676904382904143,Herbivore
